,Journal name,Auditor initials,prereg_trial,comment_prereg_trial,prereg_other,comment_prereg_other,stat_tests,comment_stat_tests,outcomes,comment_outcomes,alpha,comment_alpha,exclude,comment_exclude,missing,comment_missing,prior,comment_prior,var,comment_var,mean,comment_mean,median,comment_median,no_sem,comment_no_sem,pval,comment_pval,exact_p,comment_exact_p,precision,comment_precision,trend,comment_trend,posterior,comment_posterior,fig_var,comment_fig_var,fig_raw_data,comment_fig_raw_data,pub_data,comment_pub_data,pub_proc,comment_pub_proc,pub_stat,comment_pub_stat,inconsistent,inconsistent_txt
6,acta neuropathologica,ZD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,2,,1,,1,,0,
7,acta physiologica,ZD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,3,,2,,2,,0,
8,alzheimers research & therapy,ZD,3,,2,,2,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,1,,1,,1,,2,,2,,2,,0,
64,american journal of physiology-heart and circulatory physiology,LB,3,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,1,,1,,2,,1,,1,,1,,1,,2,,3,,2,,1,Encourages authors to consult the APS editorial. ,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?"
63,american journal of physiology-lung cellular and molecular physiology,LB,3,"If clinical trials were used, a statement of registration is required - not sure if this is enough?",1,,1,,1,,1,,1,,1,,1,,1,,2,"Advances in Physiology Education supports adherence of two of the 2004 Guidelines for Reporting Statistics:  Guideline 5. Report variability using a standard deviation. If the standard deviation is not a meaningful estimate of variability, as when the data are skewed, then the range or interquartile range provide more meaningful estimates",2,,1,,1,,2,,1,,1,,1,,1,,2,Authors are strongly encouraged to present graphical data in a format that shows the range of data points in relation to the mean value and significance (i.e. dot-whisker plots) rather than formats that may mask the variability (i.e. bar graphs).,3,"Provide the experimental data and results as well as the particular statistical significance of the data.     To facilitate better reporting of information and data that are auxiliary or ancillary to the main content of the article, data supplements must now be deposited in generalist public access data repository if no community resource is available ",2,"1.	Upon submission of a paper reporting computer simulation using original, author-generated code, authors are encouraged to deposit software and code via a public repository, such as GitHub, if not already deposited to a public repository",1,,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?    Encouraged authors to consult the APS editorial. "
24,annals of neurology,ZD,1,"Only specifies registration, not PRE-registration:   All clinical trials must be registered in a database that meets the requirements set forth by the ICMJE....",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
85,applied physiology nutrition and metabolism,MH,3,,1,,1,,1,,1,,1,,1,,1,,1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",3,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",1,"define the values provided (e.g., mean and standard deviation or standard error, median, and interquartile range), and ",3,,1,,1,,1,,1,,3,,1,,2,"Supply a data availability statement that says whether the data underpinning the work are available. If yes, specify how data can be accessed and under what conditions data can be reused. Supply repository name, persistent unique identifier (PID: DOI/compact identifier/accession number), and hyperlink.    We encourage authors to make their primary research data publicly available for all articles reporting original research.",1,,1,,0,
69,behavioral neuroscience,JD,1,,1,Journal publishes registered reports. Strongly recommends pre-registration for replication studies only,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
95,behavioural brain research,AB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
96,bmc neuroscience,AB,1,,1,,3,,3,,1,,1,,1,,1,,3,,3,,3,does not mention IQR but does mention SD SEM and CI where appropriate,1,,1,,1,,1,,1,,1,,3,general guideline only for all measures,3,"for n < 6, individual data   values should be shown rather than summary statistics alone",3,"Inst to authors doc: For all journals, BioMed Central strongly encourages all datasets    vs    Min reporting guidelines BMC: All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories",3,,1,,1,"Inst to authors doc: For all journals, BioMed Central strongly encourages all datasets    vs    Min reporting guidelines BMC: All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories"
25,brain,ZD,2,"This score depends on what the CONSORT guideline stipulates: ""Clinical/randomised trials: Reports of randomised trials must conform to the revised CONSORT guidelines and should be submitted with their protocols, registration details and completed CONSORT checklist.""",1,"Only mentions registration for randomised trials, but no other trial types (see previous qu comments).",2,,1,,2,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,1,,1,,2,only for continuously distributed data,2,only for continuously distributed data,2,,2,,2,,0,
55,brain and behavior,SG,3,,1,,1,,1,,1,,1,,1,,1,,2,'should' This is from the paragraph on Tables:   'Statistical measures such as SD or SEM should be identified in the headings',1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,'Brain and Behavior expects you to archive all the data from which your published results are derived in a public repository. ',1,code/spreadsheets not mentioned specifically but see note above. ,1,code/spreadsheets not mentioned specifically but see note above.     SEPARATE NOTE re first section: the journal lists 11 guidelines to use.  The next paragraph has even more:   'We also encourage authors to refer to and follow guidelines from:  •	Future of Research Communications and e-Scholarship (FORCE11)  •	National Research Council's Institute for Laboratory Animal Research guidelines  •	The Gold Standard Publication Checklist from Hooijmans and colleagues  •	Minimum Information Guidelines from Diverse Bioscience Communities (MIBBI) website  •	FAIRsharing website  ',0,
91,brain and language,MH,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0,
0,brain injury,JD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
99,brain research,AB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,explain all symbols and abbreviations used   DOES NOT SEPCIFICALLY MENTION VARIABILITY,1,,2,,2,,2,,0,
35,brain sciences,LB,3,MDPI follows the International Committee of Medical Journal Editors (ICMJE) guidelines which require and recommend registration of clinical trials in a public trials registry at or before the time of first patient enrollment as a condition of consideration for publication.,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,Brain Sciences requires that authors publish all experimental controls and make full datasets available where possible.,2,"For work where novel computer code was developed, authors should release the code either by depositing in a recognized, public repository such as GitHub or uploading as supplementary information to the publication.",1,,0,
26,brain stimulation,ZD,1,,1,,1,,1,,2,,1,,1,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
54,canadian journal of physiology and pharmacology,SG,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,'The assumptions and (or) the model underlying any statistical analysis should be clearly stated. Do not use symbols such as * and ** to denote levels of significance unless accompanied by actual p values.',2,see note above,1,,1,,1,,1,,1,,1,"Mentioned but weak:  'Supply a data availability statement that says WHETHER the data underpinning the work are available. If yes, specify how data can be accessed and under what conditions data can be reused. Supply repository name, persistent unique identifier ...'",1,,1,"NOTE re first section: authors told to go to Equator. 'Study reporting guidelines can help authors report their work transparently and accurately. We encourage their use. Up-to-date guidelines can be found at the EQUATOR Network, where authors can consult the flow chart or wizard to identify which guideline(s) to use. A completed copy of the guideline checklist may be submitted with the manuscript as a Supplementary file.'",0,
11,cerebellum,AB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,Upon request authors should be prepared to send relevant documentation or data ,1,,0,
27,cerebral cortex,ZD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
87,clinical and experimental pharmacology and physiology,MH,3,,1,,1,,1,,3,"The level of statistical significance (alpha) should be defined and it should be stated explicitly whether this refers to one- or two-sided probability. Nevertheless, exact P values should be given to a sensible number of significant figures (e.g. P = 0.01 rather than P = 0.0058). The risk of type 1 error (a false positive inference) should always be controlled. ",1,,1,,1,,3,,3,"Data should be expressed as mean (SD) when the intention is to indicate the degree of variability of the data around the mean value, and as mean ± SEM when the intention is to estimate the population mean from the sample data. In either case, the numbers of observations (n) should be stipulated. This allows the reader to calculate SD from SEM and vice versa. ",1,,1,"Data should be expressed as mean (SD) when the intention is to indicate the degree of variability of the data around the mean value, and as mean ± SEM when the intention is to estimate the population mean from the sample data. In either case, the numbers of observations (n) should be stipulated. This allows the reader to calculate SD from SEM and vice versa. ",3,,3,,2,,1,,1,,3,,1,,2,"Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.    The journal encourages authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. Authors should include a data accessibility statement, including a link to the repository they have used, in order that this statement can be published alongside their paper.",1,"Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",1,"Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",0,
9,clinical journal of sport medicine,AB,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
33,clinical neurophysiology,LB,1,,1,,2,,1,,1,,1,,1,,1,,2,Transparent reporting also requires the authors to specify the spread of group data.,2,"In case of normal distribution, any mean value a should be reported together with a measure b which reflects the spread around the mean (a ± b). It should be clarified whether b equals standard deviation (to provide information about dispersion around the mean) or standard error (to provide information about precision of sampling estimation).",1,,1,,1,,2,,1,,1,,1,,1,,1,,2,"Clinical Neurophysiology offers Supplementary Material, where background or auxiliary data sets and their statistical analyses could be published to maintain reading flow of the core results in the main text.",2,"To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,,0,
70,clinical physiology and functional imaging,JD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
29,comprehensive physiology,ZD,3,,1,,3,,1,,1,,1,,1,,1,,1,,3,,2,,1,,1,,3,,1,,1,,1,,1,,1,,2,,1,,1,,1,See folder 1-guidelines > non-checklists > document conflicts_record. Conflict is recorded here.  This journal has 2 different Guidlines:  Wiley: Would be marked Not Mentioned for all above criteria.  APS: As marked above 
36,cortex,LB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,"As a signatory to the TOP guidelines, Cortex requires authors to make their anonymised research data publicly available to the maximum permitted by relevant ethical and legal requirements. Research data refers to the results of observations or experimentation that validate research findings. ",2,"To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,,0,
57,current neurology and neuroscience reports,LB,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. ,1,,0,
30,developmental cognitive neuroscience,ZD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
94,developmental neuroscience,AB,3,,1,,3,"The Results section should describe the most important findings of the study, analysis, or experiment. ",3,"The Results section should describe the most important findings of the study, analysis, or experiment.   The most important results should be indicated, and relevant trends and patterns should be described.",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
56,eneuro,LB,3," A statement confirming that, following IPA, the   authors agree to register their approved protocol   on the Open Science Framework or other   recognized repository, either publicly or under   private embargo until submission of the Stage 2   manuscript.",3,,3,Detailed information on each analysis performed   is included with specific p values.    The authors must state the statistical methods they have used: descriptive and/or experimental design. ,1,"The outcomes of confirmatory pre-registered   analyses are, in all cases, clearly distingiushed   from the outcomes of any additional unregistered   analyses.",1,,2,,1,,1,,1,,1,,1,,1,,2,Detailed information on each analysis performed   is included with specific p values.,3,Authors reporting null hypothesis significance tests are required to report exact p values and effect sizes for all inferential analyses.,2,Statistical analysis should always include effect sizes and expressions of uncertainty (an interval estimate).,1,,1,,1,,2,,3,Anonymized raw data and digital study materials must be made freely available in a public repository/archive with a link provided within the Stage 2 manuscript.  ,3,"That the manuscript includes a link to the public   archive containing anonymized study data, digital materials/code and the laboratory log.     New computational neuroscience computer code must be included with the initial submission as Extended Data to ensure reproducibility if published and be deposited in a suitable repository such as GitHub, ModelDB, BioModels, CellML, or Visiome",1,"States: The following resources offer helpful guidelines on how to report statistical results:    citing Curran-Everitt, ""The following resources offer helpful guidelines on how to report statistical results:""",0,
84,european journal of applied physiology,MH,3,,1,,2,"We encourage inclusion of complete statistical analyses and full data sets at the individual level, but these should be presented in tables or as Electronic Supplementary Material (ESM).",2,"We encourage inclusion of complete statistical analyses and full data sets at the individual level, but these should be presented in tables or as Electronic Supplementary Material (ESM).",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,"This journal operates a type 2 research data policy (life sciences). A submission to the journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any researcher wishing to use them for non-commercial purposes, without breaching participant confidentiality.  The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible. ",1,,1,,0,
52,european journal of neurology,LB,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,Statistical measures such as SD or SEM should be identified in the headings.,1,,2,EJN expects you to archive all the data from which your published results are derived in a public repository.,1,,1,,0,
59,european journal of neuroscience,AB,3,both recommend that clinical trials should be registered prospectively,1,,3,,3,,3,,1,,1,,1,,3,"Important descriptive statistics, such as mean and standard deviation  (SD), or standard error of the mean (SEM), need to be either  represented graphically or numerically in the text.",3,"??Important descriptive statistics, such as mean and standard deviation  (SD), or standard error of the mean (SEM), need to be either  represented graphically or numerically in the text.",1,,1,,3,,3,,1,,1,,1,,3,,1,,3,This journal mandates and peer reviews data sharing,1,,1,"Refers to   Reporting statistical methods and statistical results in EJR  European Journal of Neuroscience, Vol. 28, pp. 2363-2364, 2008    for statistical guidelines",0,
1,experimental brain research,JD,3,"Only required for prospective clinical trials.   Retrospectively registered trials are still permitted:  For clinical trials that have not been registered prospectively, authors are encouraged to register retrospectively to ensure the complete publication of all results. The trial registration number (TRN), date of registration and the words 'retrospectively registered' should be included as the last line of the manuscript abstract.",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,"Data availability statement:  A submission to the journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any researcher wishing to use them for non-commercial purposes, without breaching participant confidentiality.  E.g. of statement:  1. The datasets generated during and/or analysed during the current study are available in the [NAME] repository, [PERSISTENT WEB LINK TO DATASETS]  2. The datasets generated during and/or analysed during the current study are available from the corresponding author on reasonable request.",1,,1,,1,"The journal's definition of ""freely available"" data does not necessarily mean ""publicly available"":  They consider data are freely available if data are provided by corresponding author on reasonable request (see data availability statement excerpts)"
90,experimental neurobiology,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
5,experimental neurology,LB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
