,Journal name,Auditor initials,prereg_trial,comment_prereg_trial,prereg_other,comment_prereg_other,stat_tests,comment_stat_tests,outcomes,comment_outcomes,alpha,comment_alpha,exclude,comment_exclude,missing,comment_missing,prior,comment_prior,var,comment_var,mean,comment_mean,median,comment_median,no_sem,comment_no_sem,pval,comment_pval,exact_p,comment_exact_p,precision,comment_precision,trend,comment_trend,posterior,comment_posterior,fig_var,comment_fig_var,fig_raw_data,comment_fig_raw_data,pub_data,comment_pub_data,pub_proc,comment_pub_proc,pub_stat,comment_pub_stat,inconsistent,inconsistent_txt
88,experimental physiology,MH,3,"NOTE: If the research study was registered (clause 35 of the Declaration of Helsinki) the registration database should be indicated, else the lack of registration should be noted as an exception (e.g. The study conformed to the standards set by the Declaration of Helsinki, except for registration in a database.);  ",3,"NOTE: If the research study was registered (clause 35 of the Declaration of Helsinki) the registration database should be indicated, else the lack of registration should be noted as an exception (e.g. The study conformed to the standards set by the Declaration of Helsinki, except for registration in a database.);      Registered Reports are a form of empirical article in which the methods and proposed analyses are pre-registered and reviewed prior to research being conducted. ",1,,1,,3,,1,Clearly indicate any inclusion or exclusion criteria,1,Clearly indicate any inclusion or exclusion criteria,3,,3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3,"Use the exact P value, to the appropriate number of decimals, particularly when values are near a stated limit. For example, P = 0.051 and P = 0.049 have very similar implications.",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3," To characterise a normally distributed sample, report the mean (SD), and the number of samples (n). Use an appropriate number of significant figures. If samples are not normally distributed, use median and quartile values, or transform the data to obtain a more normal distribution. When describing the precision of estimation of a mean value, 95% confidence limits of the mean should be used, rather than the SEM. ",3,"Use the exact P value, to the appropriate number of decimals, particularly when values are near a stated limit. For example, P = 0.051 and P = 0.049 have very similar implications.",3,Implied,3,Implied,2,"Where possible, graphs should show individual values, rather than solid bars indicating a mean value. If a plot of individual values obscures some of the data presented, a box and whisker plot can be used to show mean or median, and 95% confidence intervals or quartiles.",2,"Please state access codes for data deposition (e.g. protein/DNA/RNA sequences, macromolecular structures) and where relevant, indicate where computer source codes can be obtained.    Experimental Physiology is committed to encouraging the free exchange of scientific information and to promote progress in all areas of physiological research. Experimental Physiology requires, as a condition for publication, that nucleic acid and protein sequences, microarray data and data obtained using high throughput sequencing techniques, which support the results in the paper, should be archived in an appropriate public database (see below) and must be accessible without restriction from the date of publication.    Experimental Physiology requires the provision of a Data Availability Statement for all papers reporting original data, both in the manuscript and in the appropriate field during submission.  The Data Availability Statement should describe the availability of these data. If any data cannot be shared, the reason(s) should also be outlined in this statement. Authors must include in their Statement a link to the repository they have used (if applicable), reference the data in the appropriate sections(s) of their manuscript and cite the data they have shared in the References section. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly available/archived.   If sharing data compromises ethical standards or legal requirements then authors are not expected to share them, but should note this in their Statement. ",2,"Please state access codes for data deposition (e.g. protein/DNA/RNA sequences, macromolecular structures) and where relevant, indicate where computer source codes can be obtained.    Experimental Physiology requires the provision of a Data Availability Statement for all papers reporting original data, both in the manuscript and in the appropriate field during submission.  The Data Availability Statement should describe the availability of these data. If any data cannot be shared, the reason(s) should also be outlined in this statement. Authors must include in their Statement a link to the repository they have used (if applicable), reference the data in the appropriate sections(s) of their manuscript and cite the data they have shared in the References section. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly available/archived.   If sharing data compromises ethical standards or legal requirements then authors are not expected to share them, but should note this in their Statement. ",2,"Please state access codes for data deposition (e.g. protein/DNA/RNA sequences, macromolecular structures) and where relevant, indicate where computer source codes can be obtained.    Experimental Physiology requires the provision of a Data Availability Statement for all papers reporting original data, both in the manuscript and in the appropriate field during submission.  The Data Availability Statement should describe the availability of these data. If any data cannot be shared, the reason(s) should also be outlined in this statement. Authors must include in their Statement a link to the repository they have used (if applicable), reference the data in the appropriate sections(s) of their manuscript and cite the data they have shared in the References section. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly available/archived.   If sharing data compromises ethical standards or legal requirements then authors are not expected to share them, but should note this in their Statement. ",0,
49,frontiers in neuroscience,LB,3,,1,,2,,1,,1,,1,,1,,1,,2,,1,,1,,1,,1,,1,,3,,1,,1,,1,,1,,3,,3,,1,,0,
92,gait & posture,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0,
32,glia,ZD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
43,human brain mapping,LB,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
13,human movement science,SG,1,,1,Note they have a category of paper: 'Registered reports' for stuff pre-registered and they have results-independent editorial decisions. ,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,You had to go to an Elsevier URL from the main Guide to Authors to see that data sharing is encouraged. ,1,,1,,1,Complicated.  The guide to authors comes as word document (which I used) and you can download a 'version' from it as  PDF.  Also the word doc can send you to a similar (but not identical) Elsevier headed PDF which is not identical.  But there were no obvious inconsistencies for the things we ask about (I think!)
16,ieee transactions on cognitive and developmental systems,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
53,international journal of neuroscience,SG,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,'This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.'   ,1,Not mentioned specifically.  ,1,See comment above. NOTE re reporting guidelines listed at the start. These are only an indirect reference if I clicked the ICMJE link. It is a typical Taylor Francis standard guidelines document with some adjustment for the particular journal,1,It was confusing as there are the general guidelines for Taylor and Francis journals with a mention of the IMJCE policies separately.  One could spend a lot of time looking for minor inconsistencies.  NOT simple for an author - better for them to go to recent papers published in the journal itself!
83,international journal of psychophysiology,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
93,journal of applied physiology,AB,3,,1,,3,"figures only -   Information reported in figures and legends are required to describe each individual experiment presented, including the number of samples or animals used, the statistical test performed, ",1,,3,,1,,1,,1,,3,Not specifically stated  but does state Report variability using a standard deviation,3,"Report variability using a standard deviation  then later states for tables:	  Statistical measures of variations, SD, SE, etc., must be identified. (Example: ""Values are means ± SE."")",3,,1,,3,,3,,1,,1,,1,,2,Authors are strongly encouraged to present graphical data in a format that shows the range of data points in relation to the mean value and significance (i.e. dot-whisker plots) rather than formats that may mask the variability (i.e. bar graphs).,1,,2,strongly encouraged,2,strongly encouraged,1,,0,
34,journal of cellular physiology,ZD,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
42,journal of cerebral blood flow and metabolism,ZD,2,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,3,,1,,1,,2,,1,,1,,1,,2,,3,,3,,3,,0,
74,journal of clinical neurophysiology,JD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
48,journal of clinical neuroscience,SG,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0,
61,journal of cognitive neuroscience,AB,2,not specifically mentioned foro clinical trials  The journal offers the option to preregister a study and its data analysis plan ,2,,3,,1,,1,,3,'They should also disclose any data exclusions'  Does not mention criteria?,1,,2,and/or include Bayesian statistics that can assess evidence for the null hypothesis ??,1,,1,,1,,1,,3,Implied  Test statistics should be reported with two decimal points,3,,1,"'encourages researchers to also report effect sizes (e.g., Szucs & Ioannidis, 2017) '     No mention of measure of precision   ",1,,2,and/or include Bayesian statistics that can assess evidence for the null hypothesis ??,1,,1,,2,,2,"endorse depositing of materials, data, and analysis scripts",2,**See excel spreadsheet for approx 10 refs for reporting guidelines not used here. Should these be added? DISCUSS,0,
98,journal of comparative neurology,AB,3,"WILEY doc SUGGETS THIS FOR JOURNAL instructions but journal instructions did not have this.  A suitable statement about this in journal instructions for authors might read: ""We require that clinical trials are prospectively registered in a publicly accessible database. Please include the name of the trial register and your clinical trial registration number at the end of your abstract. ",1,,1,,1,,1,,1,,1,,1,,3,Tables only: Statistical measures such as SD or SEM should be identified in the headings.,1,,1,,1,,1,,1,,1,,1,,1,,3,Figures: define/explain all abbreviations and units of measurement.,1,,3,,1,,1,"GUIDELINES ?? Editors should encourage authors to follow their discipline's guidelines for accurate and complete reporting of research.  -     Animal WILEY -Journals should encourage authors to adhere to animal research reporting standards, for example the ARRIVE reporting guidelines, which describe the details journals should require from authors regarding:",0,
47,journal of computational neuroscience,SG,3,I am assuming it is 'required'  The wording I found was 'For life science journals only (when applicable)  Trial registration number and date of registration'  ,1,But see comment above,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,But you have to fill in a declaration on umpteen  things - one is 'Availability of data and material (data transparency)'  This is a section in the submitted manuscript.,1,But you have to fill in a declaration on umpteen  things - one is 'Code availability (software application or custom code)',1,But see comment for box above.,1,JUST A COMMENT: author stuff refers to many guidelines listed at the start.  It mentions Prisma-P which was not listed by us. 
2,journal of electromyography and kinesiology,JD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
41,journal of general physiology,LB,1,,1,,3,,3,,1,,3,,1,,1,,2,,3,,3,,1,,1,,2,,3,,1,,1,,2,,1,,2,,2,,1,,0,
77,journal of integrative neuroscience,JD,2,In Editorial Policies,1,Register systematic reviews,1,,2,,3,,1,,1,,1,,3,,1,,1,,1,,3,,3,,1,,1,,1,,3,,1,,2,In Editorial Policies,1,,1,,0,
20,journal of membrane biology,SG,3,But under Abstract it writes:   'Trial registration number and date of registration'  I take this to mean put in registration information if you have it: there is no real encouragement in my view.  But near the end of stuff linked to the Nature publishing house it says 'authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories.',1,See previous comment,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,Clayton's mention:   'Availability of data and material (data transparency)' but no encouragement at all.  Later in guidelines: 'We encourage research data to be archived in data repositories wherever possible'  Under 'supplementary information' Later on authors are reminded: 'All original research must include a data availability statement. '  Following that 'This journal strongly encourages that all datasets on which the conclusions of the paper rely are available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible.  40 pages + of stuff in the guidelines but zip on statistics etc etc.,2,Clayton's mention:   'Availability of data and material (data transparency)' but no encouragement at all.,1,PRE AUDIT QUESTION: 'Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.'  Guidelines specifically mentioned are ticked in the list. ,0,
15,journal of molecular neuroscience,MH,3,"""To ensure the integrity of the reporting of patient-centered trials, authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories.""",1,"""​ Abstract  Please provide an abstract of 150 to 250 words. The abstract should not contain any undefined abbreviations or unspecified references.  For life science journals only (when applicable)  Trial registration number and date of registration   Trial registration number, date of registration followed by ""retrospectively registered"" """,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.""",1,"""All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.""",0,
76,journal of motor behavior,JD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
40,journal of neurochemistry,LB,2,,2,,1,,1,,1,,2,,1,,1,,2,,2,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,1,,0,
39,journal of neuroengineering and rehabilitation,LB,3,,2,BMC supports the prospective registration of systematic reviews and encourages authors to register their systematic reviews in a suitable registry (such as PROSPERO). ,2,Information on the statistical methods and measures used.,1,,1,,2,and an explanation of  inclusion/exclusion criteria if samples or organisms were excluded from the analysis.,1,,1,,1,,2,"It should be clear whether the tests are one-sided or two-sided, whether there are adjustments for multiple comparisons, whether medians or means are being shown, whether error bars are standard deviations (SD), standard error of mean (SEM) or confidence intervals. ",2,,1,,1,,1,,1,,1,,1,,2,"whether error bars are standard deviations (SD), standard error of mean (SEM) or confidence intervals",1,,3,"All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories (where available and ethically appropriate) or presented in the main   paper or additional supporting files, in machine-readable format whenever possible. ",2,Any previously unreported software application or custom code described in the manuscript should be available for testing by reviewers in a way that preserves their anonymity. The manuscript should include a description in the Availability of Data and Materials section of how the reviewers can access the unreported software application or custom code. ,1,,1,"All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories...    For all journals, BioMed Central strongly encourages all datasets on which the conclusions of the manuscript rely to be either deposited in publicly available repositories     The recommendation for depositing data sets is inconsistent, some places it states you MUST do it and other places it uses language such as ""encourages"". "
19,journal of neurolinguistics,SG,3,'must be registered'  This an Elsevier standard guideline with some minor adjustments. ,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,Weak encouragement: standard Elsevier line (see Neuroscience Methods),2,Weak encouragement,2,Weak encouragement,0,
46,journal of neurophysiology,SG,3,,1,,1,"But for figures and legends  'Information reported in figures and legends are required to describe each individual experiment presented, including the number of samples or animals used, the statistical test performed, sex, and any non-uniform adjustments to digital images.'",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,Authors are strongly encouraged to make the data underlying the results presented in the manuscript available to reviewers and readers. Authors should make the data available upon request or store it in appropriate public repositories.    Note the OR in the last sentence may need discussion.  I have given Benefit of doubt to the Journal.  ,2,"Here is the quote - it only applies to computer simulation.  Given benefit of doubt!  'For manuscripts reporting computer simulation using original, author-generated code, authors are strongly encouraged to deposit software and code via a public repository, such as GitHub.'",1,Not explicit but see my comment in the next box. ,1,"This paragraph is potentially ambivalent:  'Work published in the APS Journals must necessarily be independently verifiable. Authors describing results derived from unique materials, for example: antibodies, recombinant plasmids and cloned DNAs, and mutant cell lines or viruses, are expected to make such materials available to qualified investigators on request. In addition, authors are encouraged to make data that underlie the conclusions reported in the article freely available via public repositories or available to readers upon request.' [How can work be independently verifiable if the authors are only 'encouraged' to make data available?    NOTE it does mention the JAPPL/APS Curran Everett articles under 'Related Editorials and guidelines'  You also get there by clicking to the Rigor and Reproducibility Checklist.    This starts with the following entreaty: Articles published in APS journals must report experimental methods in sufficient detail to allow for transparency of data and replication by others. Authors are highly encouraged to use the Rigor and Reproducibility Checklist when preparing their original research submissions for APS Journals.  "
23,journal of neuropsychiatry and clinical neurosciences,SG,3,strong statement,1,,2,"'The following information regarding research design should be included: 1) a clearly stated hypothesis, 2) the names of the statistical tests used'",1,,1,,1,,1,,1,,1,,1,,1,,2,"'If error bars are included, standard deviations, rather than standard errors of the mean, should be used.'",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,"comment relevant to guidelines: The document started with 'The requirements stated below are in accordance with the International Committee of Medical Journal Editors. See ""Recommendations for the Conduct, Reporting, Editing, and Publication of Scholarly Work in Medical Journals"" (icmje.org).'  I took this as a recommended guideline in the set of possibilities.",0,
44,journal of neuroscience,ZD,1,,1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,3,,1,,1,,1,,1,,2,,2,,2,,0,
12,journal of neuroscience methods,SG,1,Journal no longer takes papers on clinical trials,1,,1,,1,,1,,1,,1,,1,,1,"Under TABLES  tables should summarize results by an accepted method of expression, e.g. standard deviation (S.D).",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,...'This journal encourages and enables you to share data that supports your research publication  where appropriate...,1,"this journal also encourages you to share your software, code, models,  algorithms, protocols, methods and other useful materials related to the project",2,see above,0,
4,journal of neuroscience research,LB,3,,1,,2,,2,,1,,3,,2,,1,,2,,3,,3,,3,,3,,3,,3,,1,,1,,3,,1,Guidelines stated - Use dotplot overlays if sample size is small. ,3,,2,,2,,0,
38,journal of neurotrauma,LB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
31,journal of pain,LB,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,"To facilitate  reproducibility and data reuse, this journal also encourages you to share your software, code, models,  algorithms, protocols, methods and other useful materials related to the project.",2,,0,
97,journal of physiological sciences,AB,1,,1,,3,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,1,,0,
82,journal of physiology and pharmacology,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
28,journal of physiology-london,LB,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,3,,3,,3,,3,,3,,1,,1,,3,"If n ≤ 30, all data points must be plotted in the figure in a way that reveals their range and distribution. A bar graph with data points overlaid, a box and whisker plot or a violin plot (preferably with data points included) are acceptable formats. If n > 30, then the entire raw dataset must be made available either as supporting information, or hosted on a not-for-profit repository ",2,,1,,2,,0,
21,journal of stroke & cerebrovascular diseases,SG,3,Elsevier guidelines ,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
60,journal of the neurological sciences,AB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
80,molecular psychiatry,JD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
79,motor control,JD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
86,muscle & nerve,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
45,nature neuroscience,ZD,3,,2,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,3,,2,,2,,0,
50,neural networks,ZD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
62,neural plasticity,AB,3,,1,,3,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,1,,1,,1,,2,,2,publish algorithms,1,**Authors are strongly encouraged to use appropriate reporting guidelines (comment for q1)    This includes ICMJE RECOMMENDATIONS PDF - ,0,
37,neurobiology of aging,LB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
89,neurological sciences,MH,3,"All clinical trials must be registered in a public trials registry to be considered for publication, and authors should be compliant with the Consolidated Standards of Reporting Trials (CONSORT).",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"We encourage research data to be archived in data repositories wherever possible.    A submission to the journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any researcher wishing to use them for non-commercial purposes, without breaching participant confidentiality.  The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible.",1,,1,,0,
51,neurology-neuroimmunology & neuroinflammation,ZD,3,,1,This is mandatory for clinical trials and optional for other studies.,1,,3,Provide data on all identified primary and secondary outcomes identified in the Methods section,1,,1,,1,,1,,1,,1,,1,,1,,2,"Journal encourages authors NOT to use p values:    Due to growing concerns on the overuse and misinterpretation of p values, replace p values with estimates of effects or association...unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing...The analysis of all secondary and other endpoints should focus on estimates and 95% confidence intervals.     When possible, provide absolute rather than relative risks, and include measures of association and estimates of precision rather than simply p values. ",2,See above comment.,3,,3,"The term 'trend'...is not appropriate to use when a finding is 'almost, but not, significant' according to your criteria (such as p<0.05). Please correct the text to more correct wording, such as 'the result was ... but this was not different from ... '.",1,,1,,1,,2,,1,,1,,0,
58,neuron,ZD,2,,2,"Cell Press journals support the pre-registration of both clinical trials and analysis plans in curated, public repositories when authors consider it appropriate. ",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,"For pooled data only: For any figures presenting pooled data, the measures should be defined in the figure legends (for example, ""Data are represented as mean ± SEM.""). ",1,,2,"For some data public availability is mandatory, for other types it is encouraged.",3,any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository,3,any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository,0,
14,neuropathology,SG,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
71,neuropsychobiology,JD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
17,neuropsychologia,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
65,neuropsychopharmacology,ZD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
75,neuroreport,JD,1,,1,,1,,1,,1,,1,,1,,1,,3,Stated in Tables,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
68,neuroscience,AB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
18,neuroscience letters,SG,1,Note the Guide to Authors is a rather standard guide prepared by Elsevier and we will run in to it elsewhere in our auditing SG,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,This journal encourages and enables you to share data that supports your research publication. Elsevier standard feeble wording,2,"To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code,",2,Weak statement to share 'methods' Benefit of doubt to journal.  Rather pathetic though!,0,
81,neuroscience research,MH,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
66,pain,ZD,3,,2,"Authors should indicate in Acknowledgements whether or not the conducted research was preregistered with an analysis plan in an independent, institutional registry. ",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
10,pflugers archiv-european journal of physiology,AB,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,strongly encouraged  encouraged,1,,1,,0,
22,physiological measurement,SG,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,Diabolical set of guidelines: it is an umbrella set of documents.  You have to find your journal from a list.  But eventually you come to this: 'The preferred mechanism for sharing research data is via data repositories. Authors are encouraged to deposit their research data in a repository',1,,1,,1,This was a terrible set of guidelines.  As indicated above it is an umbrella set and it is not easy to work out which requirements apply to Physiological measurement.  An email to the journal did not get a response.  
72,physiological research,JD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,
67,physiology,ZD,1,"Registration but not pre-registration required: If clinical trials were used, a statement of registration is required",1,,3,,1,,3,,1,,1,,1,,1,,3,,3,,1,,1,,3,,1,,1,,1,,1,,1,,3,,1,,1,,0,
73,respiratory physiology & neurobiology,JD,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,0,
3,sleep,LB,3,,1,,1,,1,,2,,2,,2,,1,,1,,2,,2,,1,,1,,1,,2,,1,,1,,1,,1,,2,,1,,1,,0,
78,somatosensory and motor research,JD,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,1,,0,
