,rank,journal,total_cites,impact_factor,citable_items,eigenfactor,auditor,record_id,ref_doc,prereg_trial,prereg_other,stat_tests,outcomes,alpha,exclude,missing,prior,var,mean,median,no_sem,pval,exact_p,precision,trend,posterior,fig_var,fig_raw_data,pub_data,pub_proc,pub_stat,inconsistent,inconsistent_txt
2,4,acta neuropathologica,21910,14.256,108,0.0408,ZD,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,0,
15,7,acta physiologica,5106,5.542,100,0.00831,ZD,8,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,0,
10,11,alzheimers research & therapy,3876,6.116,111,0.01166,ZD,9,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,0,
33,15,american journal of physiology-heart and circulatory physiology,26114,3.864,260,0.02036,LB,65,1,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,2,1,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?"
27,16,american journal of physiology-lung cellular and molecular physiology,13085,4.418,174,0.01551,LB,64,1,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,2,1,1,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?    Encouraged authors to consult the APS editorial. "
4,20,annals of neurology,37304,9.037,175,0.04417,ZD,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
62,24,applied physiology nutrition and metabolism,5955,2.522,190,0.01027,MH,86,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3,1,2,1,1,0,
86,34,behavioral neuroscience,6533,1.714,57,0.00357,JD,70,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
50,35,behavioural brain research,26293,2.977,563,0.03079,AB,96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
51,43,bmc neuroscience,4722,2.811,65,0.00452,AB,97,0,1,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,3,3,3,3,1,1,"Inst to authors doc: For all journals, BioMed Central strongly encourages all datasets    vs    Min reporting guidelines BMC: All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories"
3,44,brain,53283,11.337,265,0.06713,ZD,26,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,0,
77,45,brain and behavior,2607,2.091,290,0.00768,SG,56,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
69,47,brain and language,6557,2.339,70,0.00597,MH,92,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
89,52,brain injury,6668,1.69,163,0.00774,JD,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
54,54,brain research,51658,2.733,516,0.02757,AB,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
38,56,brain sciences,1994,3.332,373,0.00499,LB,36,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,0,
9,57,brain stimulation,6537,6.565,129,0.01561,ZD,27,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
78,60,canadian journal of physiology and pharmacology,4900,1.946,145,0.00399,SG,55,0,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,
42,63,cerebellum,3076,3.129,104,0.00543,AB,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
18,64,cerebral cortex,30814,5.043,395,0.05614,ZD,28,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
64,70,clinical and experimental pharmacology and physiology,5813,2.456,127,0.00464,MH,88,1,3,1,1,1,3,1,1,1,3,3,1,1,3,3,2,1,1,3,1,2,1,1,0,
40,73,clinical journal of sport medicine,4242,3.165,74,0.0051,AB,10,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
39,74,clinical neurophysiology,19764,3.214,224,0.02029,LB,34,0,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,0,
87,75,clinical physiology and functional imaging,2409,1.704,53,0.00334,JD,71,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
8,84,comprehensive physiology,4878,6.604,40,0.00918,ZD,30,1,3,1,3,1,1,1,1,1,1,3,2,1,1,3,1,1,1,1,1,2,1,1,1,See folder 1-guidelines > non-checklists > document conflicts_record. Conflict is recorded here.  This journal has 2 different Guidlines:  Wiley: Would be marked Not Mentioned for all above criteria.  APS: As marked above 
32,87,cortex,10979,4.009,304,0.02292,LB,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,0,
28,91,current neurology and neuroscience reports,3429,4.376,106,0.00682,LB,58,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,
19,97,developmental cognitive neuroscience,3177,4.966,132,0.0102,ZD,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
49,99,developmental neuroscience,2190,3.041,33,0.00205,AB,95,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
36,102,eneuro,3237,3.544,271,0.01597,LB,57,0,3,3,3,1,1,2,1,1,1,1,1,1,2,3,2,1,1,1,2,3,3,1,0,
61,103,european journal of applied physiology,16419,2.58,216,0.01215,MH,85,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,
25,104,european journal of neurology,11015,4.516,199,0.01734,LB,53,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,
43,105,european journal of neuroscience,24806,3.115,287,0.01875,AB,60,1,3,1,3,3,3,1,1,1,3,3,1,1,3,3,1,1,1,3,1,3,1,1,0,
91,110,experimental brain research,20249,1.591,290,0.01178,JD,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,"The journal's definition of ""freely available"" data does not necessarily mean ""publicly available"":  They consider data are freely available if data are provided by corresponding author on reasonable request (see data availability statement excerpts)"
67,111,experimental neurobiology,1069,2.37,59,0.00217,MH,91,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
22,112,experimental neurology,20154,4.691,210,0.02006,LB,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
65,113,experimental physiology,5710,2.431,169,0.00657,MH,89,1,3,3,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,
34,130,frontiers in neuroscience,17394,3.707,1379,0.04974,LB,50,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,3,3,1,0,
68,133,gait & posture,14834,2.349,410,0.01709,MH,93,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
11,136,glia,14220,5.984,160,0.01726,ZD,33,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
26,139,human brain mapping,23094,4.421,347,0.04285,LB,44,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
76,140,human movement science,4934,2.096,182,0.00642,SG,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,Complicated.  The guide to authors comes as word document (which I used) and you can download a 'version' from it as  PDF.  Also the word doc can send you to a similar (but not identical) Elsevier headed PDF which is not identical.  But there were no obvious inconsistencies for the things we ask about (I think!)
56,143,ieee transactions on cognitive and developmental systems,461,2.667,48,0.00124,MH,17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
75,148,international journal of neuroscience,3857,2.107,153,0.00425,SG,54,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,It was confusing as there are the general guidelines for Taylor and Francis journals with a mention of the IMJCE policies separately.  One could spend a lot of time looking for minor inconsistencies.  NOT simple for an author - better for them to go to recent papers published in the journal itself!
60,149,international journal of psychophysiology,8822,2.631,132,0.00945,MH,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
48,155,journal of applied physiology,43194,3.044,352,0.0202,AB,94,1,3,1,3,1,3,1,1,1,3,3,3,1,3,3,1,1,1,2,1,2,2,1,0,
14,158,journal of cellular physiology,26457,5.546,2027,0.02429,ZD,35,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
12,159,journal of cerebral blood flow and metabolism,19492,5.681,186,0.02421,ZD,43,1,2,1,1,1,1,1,1,1,1,3,3,3,1,1,2,1,1,1,2,3,3,3,0,
93,161,journal of clinical neurophysiology,3015,1.434,70,0.00281,JD,75,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
83,162,journal of clinical neuroscience,8601,1.76,636,0.01388,SG,49,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
45,163,journal of cognitive neuroscience,16519,3.105,138,0.01562,AB,62,0,2,2,3,1,1,3,1,2,1,1,1,1,3,3,1,1,2,1,1,2,2,2,0,
53,164,journal of comparative neurology,29259,2.801,182,0.01453,AB,99,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,3,1,1,0,
81,167,journal of computational neuroscience,1754,1.811,32,0.00212,SG,48,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,JUST A COMMENT: author stuff refers to many guidelines listed at the start.  It mentions Prisma-P which was not listed by us. 
85,168,journal of electromyography and kinesiology,5312,1.74,95,0.00407,JD,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
35,170,journal of general physiology,7476,3.628,90,0.00739,LB,42,1,1,1,3,3,1,3,1,1,2,3,3,1,1,2,3,1,1,2,1,2,2,1,0,
96,173,journal of integrative neuroscience,389,1.193,59,0.00044,JD,78,0,2,1,1,2,3,1,1,1,3,1,1,1,3,3,1,1,1,3,1,2,1,1,0,
79,176,journal of membrane biology,3765,1.877,43,0.00239,SG,21,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,
55,177,journal of molecular neuroscience,5770,2.678,196,0.00712,MH,16,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
95,178,journal of motor behavior,2375,1.279,69,0.00148,JD,77,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
30,182,journal of neurochemistry,34379,4.066,183,0.02184,LB,41,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,0,
37,185,journal of neuroengineering and rehabilitation,5164,3.519,155,0.00845,LB,40,1,3,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,3,2,1,1,"All datasets on which the conclusions of the paper rely must be either deposited in publicly   available repositories...    For all journals, BioMed Central strongly encourages all datasets on which the conclusions of the manuscript rely to be either deposited in publicly available repositories     The recommendation for depositing data sets is inconsistent, some places it states you MUST do it and other places it uses language such as ""encourages"". "
80,190,journal of neurolinguistics,1218,1.853,64,0.00142,SG,20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
72,193,journal of neurophysiology,40570,2.234,402,0.03211,SG,47,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,"This paragraph is potentially ambivalent:  'Work published in the APS Journals must necessarily be independently verifiable. Authors describing results derived from unique materials, for example: antibodies, recombinant plasmids and cloned DNAs, and mutant cell lines or viruses, are expected to make such materials available to qualified investigators on request. In addition, authors are encouraged to make data that underlie the conclusions reported in the article freely available via public repositories or available to readers upon request.' [How can work be independently verifiable if the authors are only 'encouraged' to make data available?    NOTE it does mention the JAPPL/APS Curran Everett articles under 'Related Editorials and guidelines'  You also get there by clicking to the Rigor and Reproducibility Checklist.    This starts with the following entreaty: Articles published in APS journals must report experimental methods in sufficient detail to allow for transparency of data and replication by others. Authors are highly encouraged to use the Rigor and Reproducibility Checklist when preparing their original research submissions for APS Journals.  "
74,194,journal of neuropsychiatry and clinical neurosciences,3523,2.192,57,0.00225,SG,24,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,
13,195,journal of neuroscience,167117,5.674,729,0.1814,ZD,45,0,1,1,3,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,2,2,2,0,
73,196,journal of neuroscience methods,17014,2.214,291,0.01601,SG,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,
21,197,journal of neuroscience research,13098,4.699,121,0.01048,LB,5,1,3,1,2,2,1,3,2,1,2,3,3,3,3,3,3,1,1,3,1,3,2,2,0,
31,198,journal of neurotrauma,15326,4.056,224,0.02106,LB,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
23,200,journal of pain,10887,4.621,126,0.01505,LB,32,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
52,203,journal of physiological sciences,1364,2.804,102,0.00214,AB,98,0,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,
59,205,journal of physiology and pharmacology,3342,2.644,68,0.00274,MH,83,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
24,206,journal of physiology-london,50048,4.547,309,0.03711,LB,29,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,3,2,1,2,0,
82,212,journal of stroke & cerebrovascular diseases,6838,1.787,533,0.01682,SG,22,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
44,215,journal of the neurological sciences,18170,3.115,291,0.02221,AB,61,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
99,232,molecular psychiatry,22227,12.384,129,0.05479,JD,81,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
98,233,motor control,722,1.017,34,0.00051,JD,80,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
63,235,muscle & nerve,12272,2.505,233,0.01367,MH,87,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
0,238,nature neuroscience,62932,20.071,192,0.14458,ZD,46,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,0,
16,243,neural networks,14065,5.535,202,0.01906,ZD,51,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
46,244,neural plasticity,4271,3.093,128,0.01133,AB,63,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,0,
29,246,neurobiology of aging,23002,4.347,294,0.0326,LB,38,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
66,264,neurological sciences,5978,2.415,324,0.00939,MH,90,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
5,267,neurology-neuroimmunology & neuroinflammation,2232,7.724,77,0.00841,ZD,52,1,3,1,1,3,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,2,1,1,0,
1,270,neuron,95056,14.415,311,0.19982,ZD,59,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,0,
84,271,neuropathology,1769,1.758,64,0.00212,SG,15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
88,278,neuropsychobiology,2638,1.694,27,0.00181,JD,72,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
57,279,neuropsychologia,25071,2.652,344,0.02663,MH,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
7,283,neuropsychopharmacology,26281,6.751,235,0.04074,ZD,66,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
94,284,neuroreport,12762,1.394,207,0.0051,JD,76,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
47,285,neuroscience,44404,3.056,593,0.0448,AB,69,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
71,288,neuroscience letters,33324,2.274,676,0.02621,SG,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
58,289,neuroscience research,4876,2.645,95,0.00528,MH,82,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
17,297,pain,37753,5.483,270,0.03578,ZD,67,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
41,300,pflugers archiv-european journal of physiology,9355,3.158,116,0.00981,AB,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
70,304,physiological measurement,6066,2.309,158,0.00626,SG,23,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,This was a terrible set of guidelines.  As indicated above it is an umbrella set and it is not easy to work out which requirements apply to Physiological measurement.  An email to the journal did not get a response.  
90,305,physiological research,3598,1.655,142,0.00368,JD,73,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
6,307,physiology,3583,7.212,33,0.00538,ZD,68,1,1,1,3,1,3,1,1,1,1,3,3,1,1,3,1,1,1,1,1,3,1,1,0,
92,319,respiratory physiology & neurobiology,6495,1.591,150,0.00421,JD,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,
20,325,sleep,22294,4.805,221,0.02463,LB,4,1,3,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,0,
97,330,somatosensory and motor research,731,1.028,39,0.00061,JD,79,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,
